"subject","condition","cond_order","rating","frequency","duration","delay"
"1","JumboLonger",1,6,"36","4050","0"
"1","JumboMoreDelay",2,4,"324","450","3"
"1","Longer",3,4,"36","1350","0"
"1","MoreDelay",4,5,"108","450","3"
"1","More",5,4,"108","450","0"
"1","Baseline",6,6,"36","450","0"
"1","BaselineDelay",7,7,"36","450","3"
"1","JumboLongDelay",8,5,"36","4050","3"
"1","NoneDelay",9,4,"0","0","3"
"1","JumboMore",10,2,"324","450","0"
"1","None",11,6,"0","0","0"
"1","LongerDelay",12,4,"36","1350","3"
"2","MoreDelay",1,7,"108","450","3"
"2","NoneDelay",2,-1,"0","0","3"
"2","Baseline",3,2,"36","450","0"
"2","JumboMore",4,7,"324","450","0"
"2","BaselineDelay",5,5,"36","450","3"
"2","JumboLonger",6,5,"36","4050","0"
"2","More",7,-1,"108","450","0"
"2","None",8,-4,"0","0","0"
"2","JumboLongDelay",9,3,"36","4050","3"
"2","LongerDelay",10,3,"36","1350","3"
"2","Longer",11,4,"36","1350","0"
"2","JumboMoreDelay",12,6,"324","450","3"
"3","LongerDelay",1,5,"36","1350","3"
"3","NoneDelay",2,0,"0","0","3"
"3","Longer",3,3,"36","1350","0"
"3","BaselineDelay",4,-3,"36","450","3"
"3","JumboLonger",5,-3,"36","4050","0"
"3","Baseline",6,-5,"36","450","0"
"3","MoreDelay",7,8,"108","450","3"
"3","None",8,-7,"0","0","0"
"3","JumboMore",9,8,"324","450","0"
"3","More",10,6,"108","450","0"
"3","JumboMoreDelay",11,8,"324","450","3"
"3","JumboLongDelay",12,-3,"36","4050","3"
"4","LongerDelay",1,6,"36","1350","3"
"4","MoreDelay",2,8,"108","450","3"
"4","BaselineDelay",3,-1,"36","450","3"
"4","More",4,-7,"108","450","0"
"4","JumboLonger",5,-3,"36","4050","0"
"4","JumboMore",6,-6,"324","450","0"
"4","JumboLongDelay",7,-2,"36","4050","3"
"4","JumboMoreDelay",8,0,"324","450","3"
"4","NoneDelay",9,6,"0","0","3"
"4","Baseline",10,4,"36","450","0"
"4","None",11,3,"0","0","0"
"4","Longer",12,-2,"36","1350","0"
"5","JumboMore",1,-3,"324","450","0"
"5","JumboMoreDelay",2,0,"324","450","3"
"5","None",3,2,"0","0","0"
"5","Longer",4,6,"36","1350","0"
"5","Baseline",5,3,"36","450","0"
"5","JumboLonger",6,3,"36","4050","0"
"5","MoreDelay",7,8,"108","450","3"
"5","BaselineDelay",8,2,"36","450","3"
"5","LongerDelay",9,0,"36","1350","3"
"5","NoneDelay",10,3,"0","0","3"
"5","JumboLongDelay",11,7,"36","4050","3"
"5","More",12,6,"108","450","0"
"6","Longer",1,6,"36","1350","0"
"6","NoneDelay",2,-5,"0","0","3"
"6","JumboLonger",3,7,"36","4050","0"
"6","JumboMoreDelay",4,9,"324","450","3"
"6","More",5,3,"108","450","0"
"6","None",6,-4,"0","0","0"
"6","BaselineDelay",7,0,"36","450","3"
"6","MoreDelay",8,2,"108","450","3"
"6","JumboLongDelay",9,4,"36","4050","3"
"6","LongerDelay",10,1,"36","1350","3"
"6","Baseline",11,0,"36","450","0"
"6","JumboMore",12,9,"324","450","0"
"7","MoreDelay",1,-4,"108","450","3"
"7","More",2,-3,"108","450","0"
"7","JumboMore",3,-3,"324","450","0"
"7","BaselineDelay",4,-5,"36","450","3"
"7","None",5,-3,"0","0","0"
"7","Baseline",6,-4,"36","450","0"
"7","LongerDelay",7,-5,"36","1350","3"
"7","JumboLongDelay",8,-6,"36","4050","3"
"7","NoneDelay",9,-3,"0","0","3"
"7","JumboLonger",10,-2,"36","4050","0"
"7","JumboMoreDelay",11,-1,"324","450","3"
"7","Longer",12,0,"36","1350","0"
"8","JumboMoreDelay",1,-8,"324","450","3"
"8","None",2,-4,"0","0","0"
"8","More",3,3,"108","450","0"
"8","LongerDelay",4,2,"36","1350","3"
"8","MoreDelay",5,2,"108","450","3"
"8","NoneDelay",6,-3,"0","0","3"
"8","JumboLongDelay",7,-1,"36","4050","3"
"8","JumboLonger",8,-5,"36","4050","0"
"8","BaselineDelay",9,-1,"36","450","3"
"8","Longer",10,2,"36","1350","0"
"8","Baseline",11,-1,"36","450","0"
"8","JumboMore",12,3,"324","450","0"
"9","JumboMoreDelay",1,2,"324","450","3"
"9","LongerDelay",2,0,"36","1350","3"
"9","JumboLonger",3,1,"36","4050","0"
"9","BaselineDelay",4,2,"36","450","3"
"9","More",5,-2,"108","450","0"
"9","None",6,0,"0","0","0"
"9","Baseline",7,1,"36","450","0"
"9","JumboLongDelay",8,2,"36","4050","3"
"9","MoreDelay",9,0,"108","450","3"
"9","NoneDelay",10,1,"0","0","3"
"9","Longer",11,2,"36","1350","0"
"9","JumboMore",12,1,"324","450","0"
"10","JumboLonger",1,0,"36","4050","0"
"10","NoneDelay",2,-5,"0","0","3"
"10","JumboMore",3,8,"324","450","0"
"10","None",4,-3,"0","0","0"
"10","Baseline",5,3,"36","450","0"
"10","BaselineDelay",6,0,"36","450","3"
"10","JumboLongDelay",7,-1,"36","4050","3"
"10","JumboMoreDelay",8,9,"324","450","3"
"10","MoreDelay",9,5,"108","450","3"
"10","Longer",10,-2,"36","1350","0"
"10","LongerDelay",11,0,"36","1350","3"
"10","More",12,6,"108","450","0"
"11","BaselineDelay",1,2,"36","450","3"
"11","JumboMore",2,9,"324","450","0"
"11","NoneDelay",3,-5,"0","0","3"
"11","Baseline",4,1,"36","450","0"
"11","JumboLonger",5,-2,"36","4050","0"
"11","None",6,-3,"0","0","0"
"11","MoreDelay",7,7,"108","450","3"
"11","JumboMoreDelay",8,8,"324","450","3"
"11","More",9,7,"108","450","0"
"11","LongerDelay",10,0,"36","1350","3"
"11","Longer",11,0,"36","1350","0"
"11","JumboLongDelay",12,1,"36","4050","3"
"12","More",1,3,"108","450","0"
"12","Baseline",2,6,"36","450","0"
"12","NoneDelay",3,7,"0","0","3"
"12","JumboMore",4,1,"324","450","0"
"12","MoreDelay",5,2,"108","450","3"
"12","None",6,7,"0","0","0"
"12","JumboLonger",7,2,"36","4050","0"
"12","LongerDelay",8,4,"36","1350","3"
"12","Longer",9,4,"36","1350","0"
"12","JumboLongDelay",10,3,"36","4050","3"
"12","JumboMoreDelay",11,1,"324","450","3"
"12","BaselineDelay",12,6,"36","450","3"
"13","BaselineDelay",1,3,"36","450","3"
"13","NoneDelay",2,7,"0","0","3"
"13","Baseline",3,4,"36","450","0"
"13","JumboLongDelay",4,-6,"36","4050","3"
"13","JumboMore",5,-2,"324","450","0"
"13","JumboLonger",6,1,"36","4050","0"
"13","Longer",7,2,"36","1350","0"
"13","JumboMoreDelay",8,-8,"324","450","3"
"13","More",9,-4,"108","450","0"
"13","LongerDelay",10,-4,"36","1350","3"
"13","MoreDelay",11,-3,"108","450","3"
"13","None",12,2,"0","0","0"
"14","LongerDelay",1,3,"36","1350","3"
"14","MoreDelay",2,-2,"108","450","3"
"14","JumboLonger",3,4,"36","4050","0"
"14","JumboLongDelay",4,1,"36","4050","3"
"14","JumboMoreDelay",5,8,"324","450","3"
"14","BaselineDelay",6,0,"36","450","3"
"14","None",7,-1,"0","0","0"
"14","JumboMore",8,-3,"324","450","0"
"14","More",9,1,"108","450","0"
