"subject","condition","cond_order","stage_order","withinStage_order","stage","frequency","rating"
"1","Z216",1,1,1,"Z","216",5
"1","Z000",2,1,2,"Z","0",-1
"1","Z072",3,1,3,"Z","72",4
"1","Z024",4,1,4,"Z","24",1
"1","P000",5,2,1,"P","0",2
"1","P216",6,2,2,"P","216",8
"1","P024",7,2,3,"P","24",6
"1","P072",8,2,4,"P","72",5
"1","N216",9,3,1,"N","216",6
"1","N024",10,3,2,"N","24",-6
"1","N000",11,3,3,"N","0",-8
"1","N072",12,3,4,"N","72",0
"2","N000",1,1,1,"N","0",-7
"2","N216",2,1,2,"N","216",7
"2","N024",3,1,3,"N","24",-5
"2","N072",4,1,4,"N","72",0
"2","P216",5,2,1,"P","216",9
"2","P072",6,2,2,"P","72",7
"2","P000",7,2,3,"P","0",6
"2","P024",8,2,4,"P","24",6
"2","Z216",9,3,1,"Z","216",9
"2","Z072",10,3,2,"Z","72",6
"2","Z000",11,3,3,"Z","0",-3
"2","Z024",12,3,4,"Z","24",2
"3","P072",1,1,1,"P","72",7
"3","P024",2,1,2,"P","24",3
"3","P216",3,1,3,"P","216",5
"3","P000",4,1,4,"P","0",-5
"3","Z216",5,2,1,"Z","216",3
"3","Z024",6,2,2,"Z","24",-2
"3","Z072",7,2,3,"Z","72",-6
"3","Z000",8,2,4,"Z","0",-7
"3","N024",9,3,1,"N","24",-7
"3","N216",10,3,2,"N","216",0
"3","N072",11,3,3,"N","72",-4
"3","N000",12,3,4,"N","0",-8
"4","N000",1,1,1,"N","0",-9
"4","N024",2,1,2,"N","24",-3
"4","N216",3,1,3,"N","216",-2
"4","N072",4,1,4,"N","72",-3
"4","Z072",5,2,1,"Z","72",0
"4","Z216",6,2,2,"Z","216",3
"4","Z024",7,2,3,"Z","24",-5
"4","Z000",8,2,4,"Z","0",0
"4","P024",9,3,1,"P","24",3
"4","P216",10,3,2,"P","216",3
"4","P072",11,3,3,"P","72",7
"4","P000",12,3,4,"P","0",0
