"subj","age","sex","NF000D0450","NF008D0450","NF008D1350","NF024D0150","NF024D0450","NF024D1350","NF072D0150","NF072D0450","PF000D0450","PF008D0450","PF008D1350","PF024D0150","PF024D0450","PF024D1350","PF072D0150","PF072D0450","ZF000D0450","ZF008D0450","ZF008D1350","ZF024D0150","ZF024D0450","ZF024D1350","ZF072D0150","ZF072D0450"
1,"18","female",2,3,-3,-9,7,-4,-9,-5,-8,-3,2,5,2,5,1,3,-2,-6,2,-7,-4,3,2,-5
2,"35","male",4,9,-5,-2,2,3,-4,-2,6,4,5,4,2,10,3,5,5,4,8,2,0,6,2,-2
3,"29","female",-2,2,-4,6,-8,2,3,-3,-5,-5,-5,-8,7,10,9,8,-6,2,9,7,6,8,7,9
4,"20","female",-8,-3,-7,-7,-2,-4,3,2,4,5,2,6,8,0,8,5,-4,-2,-4,0,0,2,3,2
5,"21","male",-6,-7,-6,-5,-6,-7,-2,6,8,6,7,3,5,8,8,8,1,-6,-2,-3,0,4,3,6
6,"20","female",-9,-8,-9,-8,-6,-3,0,4,1,5,6,0,1,2,4,9,-2,-2,0,-4,1,4,3,7
7,"30","male",7,0,0,0,5,0,0,0,0,0,-1,0,2,2,0,0,0,0,-1,-1,-1,0,0,0
8,"24","female",-9,-9,-9,-9,-9,-10,-9,-10,8,7,7,8,8,6,8,7,5,1,5,-1,3,5,-2,-1
9,"23","female",-3,-2,-6,-4,2,4,-7,3,2,1,1,3,5,6,5,6,6,-2,0,3,1,7,5,3
10,"33","female",-8,-9,-7,-9,-9,-8,-9,-8,8,9,9,8,8,5,5,7,7,6,4,6,-4,2,6,1
11,"21","female",-9,0,-7,-8,-5,-3,0,-6,2,8,7,6,5,5,9,8,-6,5,-3,4,0,-4,8,7
12,"24","female",0,0,-2,0,-10,-9,-3,-10,0,1,9,1,0,7,9,8,2,0,1,2,0,1,-2,5
13,"30","female",1,1,2,4,3,3,4,6,7,7,8,6,3,7,6,9,3,5,4,5,5,5,8,6
14,"36","male",-5,-2,-6,-5,-1,-8,1,-1,2,4,4,3,1,3,6,6,7,7,3,3,1,4,-7,-5
15,"27","female",-10,-8,-8,-5,-7,-6,8,6,3,7,6,6,7,7,6,8,-4,NA,4,3,0,-3,5,4
16,"33","male",-7,-9,-9,-7,-5,-2,-5,-1,4,6,4,5,3,5,7,9,-6,-2,-4,5,2,0,5,8
17,"52","female",-9,-9,-9,-5,-6,-8,0,7,6,3,3,8,4,9,7,9,-8,-1,-5,0,2,0,5,7
18,"25","female",-8,0,-6,-4,-8,-3,2,1,3,8,3,5,2,1,4,7,0,1,1,-1,1,0,6,1
19,"36","female",-2,-3,-4,3,-2,-3,-5,2,8,8,8,8,9,7,9,9,3,7,7,6,7,3,7,8
20,"34","female",-8,-8,-7,-7,-9,-7,-6,-8,9,9,9,9,9,9,9,9,6,6,6,7,8,5,6,-3
21,"55","male",-8,-6,-7,-5,-3,-4,2,2,8,5,6,6,7,7,7,9,-3,-2,-4,-1,-2,0,4,3
22,"21","male",-7,-4,-8,-6,-4,-5,-6,-9,9,9,3,4,4,4,4,6,-1,4,-1,4,5,-1,-3,-5
23,"22","male",-8,-9,-9,-7,-8,-6,-8,-8,8,4,-2,4,2,3,9,1,3,2,3,-6,1,-3,2,-2
24,"21","male",-9,-9,-4,-8,-5,-6,-1,6,7,6,3,8,7,4,6,9,-5,-1,-2,-3,0,4,4,6
25,"26","female",1,-8,-7,-8,-7,-5,-5,-8,NA,8,3,8,6,7,7,3,2,5,5,-1,3,-2,-3,-1
26,"25","female",-9,-8,0,-1,-2,-1,0,7,3,8,9,8,8,8,8,9,0,-6,-9,-3,-4,8,9,9
27,"21","female",-4,-3,-7,-4,-2,-8,-1,NA,1,-2,1,-2,0,2,-1,0,-4,-4,1,-1,-3,-3,0,-7
28,"29","female",-8,-9,-1,-9,-10,-10,NA,-8,8,7,8,6,8,9,6,7,3,2,6,-2,1,-1,5,3
29,"19","male",-9,-9,-10,-9,-10,-8,-9,-10,5,3,4,4,5,3,6,6,-3,-1,-1,-1,-1,0,-3,-2
30,"24","male",-8,-7,-7,-8,-2,-7,5,-5,6,8,3,6,8,8,8,7,-4,7,7,8,6,0,8,9
31,"35","female",-1,-2,-1,-1,0,1,0,4,0,6,8,0,8,0,7,0,-1,0,2,0,0,0,4,5
32,"18","female",-9,-8,-7,-8,-7,-2,1,1,1,4,6,4,6,8,7,9,-7,-1,-5,1,-1,6,5,7
33,"47","female",0,0,-1,0,0,0,-2,-1,0,5,4,4,3,3,1,5,1,1,2,3,1,0,2,1
34,"21","female",-9,-4,-7,-5,-5,-3,1,2,4,6,4,7,5,5,6,8,2,-3,-2,-1,3,-1,5,5
35,"20","female",-9,-8,-7,-6,-3,-5,5,-4,6,7,7,4,6,7,8,8,-4,-3,-2,5,3,4,7,7
36,"27","female",-8,-7,3,-9,-10,4,-8,-5,-2,-2,-7,-6,-7,2,-5,-10,3,-7,-2,-5,-10,-9,-10,0
37,"31","male",-10,-9,-8,-4,-5,-4,6,5,-2,0,1,3,3,5,9,10,5,1,-3,4,4,3,7,8
38,"19","female",-4,1,-2,4,4,2,7,7,5,6,8,10,5,6,9,7,2,5,3,3,5,4,6,7
39,"20","female",-7,-6,-5,-8,-8,-2,-8,-9,6,7,7,8,7,9,8,9,1,4,3,4,5,7,5,7
40,"23","male",0,-8,-6,-8,-3,-4,-1,4,2,5,-3,6,7,6,4,7,8,-4,2,5,-2,6,8,8
